title,url,location,price,property_type,posted_by,description,Extracted_Locality,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
"3 BHK Flat in JP Nagar, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-birla-apple-aroma-jp-nagar-bangalore-south-1600-sq-ft-spid-W86404508,Birla Apple Aroma,₹1.56 Cr,3 BHK Flat,Dealer·1w ago,"This 3bhk flat is located in birla apple aroma, which houses some of the most spacious flats in jp nagar, bangalore south. This is a east-Facing property. The floor plan additionally contains 3bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1345 sq.Ft. The flat has a total of 14 floors and this property is situated on top floor. This 0-1 year ...",JP Nagar,15600000,[3],1600,9750,South,2.38776868936656,6.53537231475794,9,9,9.2,8.2,0.5,35,1.25461254612546,56.3,60.9,58.6
"4 Bedroom House in Kumbalgodu, Mysore Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kumbalgodu-bangalore-south-2443-sq-ft-spid-H86567436,"Kumbalgodu, Mysore Road, Bangalore, Bangalore South",₹1.72 Cr,4 Bedroom House,Dealer·1w ago,Introducing rsd nature mahal: Luxury redefined Discover your dream home amidst nature's serenity. Our premium villas with gardens are now available for sale. Amenities: - 24/7 water and sanitary supply - Uninterrupted 24/7 electricity - Common borewell and 25 ft concrete road - Septic tank and stormwater drain - Drip irrigation system for plants - Vastu-Compliant design Convenience: - Bank loan...,Mysore Road,17200000,[4],7079,2429.72,West,10,10,10,6,6.8,7.4,2,46,1.66051660516605,85.6,64.4,75
Vaishnavi AT One Krishna Brindavan,https://www.99acres.com/vaishnavi-at-one-krishna-brindavan-banashankari-stage-2-bangalore-south-npxid-r455141,"in Banashankari Stage 2, Bangalore","₹3.46 - 3.62 Cr, ₹4.43 Cr","3, 4 BHK Apartment",Vaishnavi Group Bangalore,"Beautiful 3,4 BHK apartments in Banashankari Stage 2, are now available in Vaishnavi AT One Krishna Brindavan housing project. Apartments in this complex are available in price range of Rs. 3.46 - 4.43 Cr. Vaishnavi AT One Krishna Brindavan 's RERA registration number is PRM/KA/RERA/1251/310/PR/081025/008140. Apartments in Vaishnavi AT One Krishna Brindavan have SUPER area ranging between 2,050 - 2,566 sqft",Banashankari,39850000,"[3, 4]",2566,15530.01,South,5.45035191173673,2.8460224409105,10,9,9.2,8.2,0,46,1.66051660516605,65.3,51.8,58.6
Pride Euphora,https://www.99acres.com/pride-euphora-kr-puram-bangalore-east-npxid-r430996,"in KR Puram, Bangalore","₹1.79 - 2.54 Cr, ₹3.75 - 4.59 Cr","3, 4 BHK Apartment",Pride Group,"Pride Euphora society now offers elegantly built 3,4 BHK apartments in KR Puram. Apartments in Pride Euphora have SUPER area ranging between 1,500 - 3,501 sqft. This society offers apartments in the price range of Rs. 1.79 - 4.59 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/080824/006965 registration number",KR Puram,31675000,"[3, 4]",3501,9047.42,East,8.41465347790248,6.98382542026601,10,9,7.5,9.5,0,31,1.1070110701107,76.4,65.9,71.2
Keya Spring,https://www.99acres.com/keya-spring-bannerghatta-road-bangalore-south-npxid-r401648,"in Bannerghatta Road, Bangalore","₹1.64 - 1.66 Cr, ₹2.24 Cr, ₹3.32 Cr","2, 3, 4 BHK Apartment",Keya Homes,"Check out 2,3,4 BHK apartments in Bannerghatta Road, now available for sale at Keya Spring. Apartments in this complex are available in price range of Rs. 1.64 - 3.32 Cr. Apartments in Keya Spring have SUPER area ranging between 1,325 - 2,700 sqft. The housing society is RERA-registered with TOR/PRM/KA/RERA/1251/310/PR/230120/001682 registration number",Bannerghatta,24033333,"[2, 3, 4]",2700,8901.23,South,5.87518229662038,7.07713772561804,10,9,9.2,8.2,0,63,2.28782287822878,71,63.3,67.2
Mahaveer Celesse,https://www.99acres.com/mahaveer-celesse-yelahanka-bangalore-north-npxid-r263821,"in Yelahanka, Bangalore","₹1.26 - 1.3 Cr, ₹1.49 - 1.69 Cr","2, 3 BHK Apartment",Mahaveer Group,"Spacious 2,3 BHK apartments in Yelahanka are available for sale.Check out latest property options at Mahaveer Celesse housing society. Here units have different sizes, mostly in range of 1,171 - 1,599 sqft SUPER area. Apartments in this complex are available in price range of Rs. 1.26 - 1.69 Cr. Mahaveer Celesse 's RERA registration number is PRM/KA/RERA/1251/309/PR/171026/000415",Yelahanka,14350000,"[2, 3]",1599,8974.36,North,2.38459831335996,7.03045923262677,9,9,8,9.3,0,71,2.5830258302583,53.9,67.5,60.7
DSR Highland Greenz,https://www.99acres.com/dsr-highland-greenz-sarjapur-road-bangalore-east-npxid-r392369,"in Sarjapur Road, Bangalore","₹81.37 L - 1.24 Cr, ₹1.28 - 1.61 Cr","2, 3 BHK Apartment",DSR Infra Projects Bangalore,"Finest 2,3 BHK apartments in Sarjapur Road available for sale in DSR Highland Greenz. DSR Highland Greenz apartments are available in multiples sizes, ranging from 875 - 1,560 sqft SUPER area. This society offers apartments in the price range of Rs. 81.37 L - 1.61 Cr. DSR Highland Greenz is a RERA- registered society and PRM/KA/RERA/1251/446/PR/110522/004876 is the RERA registration number",Sarjapur,12359250,"[2, 3]",1560,7922.6,East,2.26095364910278,7.70179208902628,9,9,7.5,9.5,0,272,10,53.1,81,67
RRL Palm Altezze,https://www.99acres.com/rrl-palm-altezze-varthur-bangalore-east-npxid-r441151,"in Varthur, Bangalore","₹99 L, ₹1.2 - 1.3 Cr","2, 3 BHK Apartment",RRL Builders and Developers,"Choose your dream home from the wide variety of 2,3 BHK apartments in Varthur, available for sale in RRL Palm Altezze. Apartments in this complex are available in price range of Rs. 99 L - 1.3 Cr. RRL Palm Altezze is a RERA- registered society and PRM/KA/RERA/1251/308/PR/141025/008167 is the RERA registration number. Apartments in RRL Palm Altezze have SUPER area ranging between 1,265 - 1,630 sqft",Varthur,11200000,"[2, 3]",1630,6871.17,East,2.48287996956439,8.37291430816767,9,9,7.5,9.5,0,84,3.06273062730627,54.6,72.3,63.4
Vaishno Serene,https://www.99acres.com/vaishno-serene-hoodi-bangalore-east-npxid-r427851,"in Hoodi, Bangalore",₹1.15 - 1.38 Cr,3 BHK Apartment,Vaishno Builders,"Check out 3 BHK apartments in Hoodi, now available for sale at Vaishno Serene. Apartments in this complex are available in price range of Rs. 1.15 - 1.38 Cr. Here units have different sizes, mostly in range of 1,421 - 1,702 sqft SUPER area. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/210524/006924 registration number",Hoodi,12650000,[3],1702,7432.43,East,2.71114704203919,8.01466501271738,9,9,7.5,9.5,0,20,0.701107011070111,55,67.8,61.4
Keya The Lake Terraces,https://www.99acres.com/keya-the-lake-terraces-electronics-city-phase-1-bangalore-south-npxid-r432183,"in Electronics City Phase 1, Bangalore","₹1.17 Cr, ₹1.58 Cr, ₹2.29 Cr","2, 3, 4 BHK Apartment",Keya Homes,"Looking for your dream home? Explore 2,3,4 BHK apartments in Electronics City Phase 1, now available in Keya The Lake Terraces. This society offers apartments in the price range of Rs. 1.17 - 2.29 Cr. Keya The Lake Terraces has apartments in multiple configurations, in range of 1,188 - 2,363 sqft. Keya The Lake Terraces 's RERA registration number is PRM/KA/RERA/1251/308/PR/170824/006975",Electronics City Phase 1,16800000,"[2, 3, 4]",2363,7109.61,South,4.80676558239807,8.22071931474721,10,9,9.2,8.2,2,16,0.553505535055351,70.4,65.6,68
The Adwaith by Sanjeevini,https://www.99acres.com/the-adwaith-by-sanjeevini-gunjur-bangalore-east-npxid-r441105,"in Gunjur, Near Varthur, Bangalore","₹1.7 - 2.16 Cr, ₹2.79 Cr","3, 4 BHK Apartment",Sanjeevini Group,"Finest 3,4 BHK apartments in Gunjur available for sale in The Adwaith by Sanjeevini. This society offers apartments in the price range of Rs. 1.7 - 2.79 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/140825/007996 registration number. The Adwaith by Sanjeevini apartments are available in multiples sizes, ranging from 1,545 - 2,555 sqft SUPER area",Varthur,23600000,"[3, 4]",2555,9236.79,East,5.4154777756642,6.86295154883491,10,9,7.5,9.5,0,84,3.06273062730627,65.8,68.5,67.2
Achal Simhachalum,https://www.99acres.com/achal-simhachalum-electronics-city-phase-1-bangalore-south-npxid-r452983,"in Electronics City Phase 1, Bangalore",₹2.56 Cr,4 BHK Villa,Achal Developers Banglore,"Check out 4 BHK Villa in Achal Simhachalum, located in Electronics City Phase 1. These Villas are sized between 2,850 sqft. Swimming Pool, Gymnasium and Club House are some of the amenities offered here in this project. Prices of Villas in Achal Simhachalum hover between Rs. 2.56 Cr",Electronics City Phase 1,25600000,[4],2850,8982.46,South,6.35073869760954,7.02528904538173,10,6,9.2,8.2,2,16,0.553505535055351,74.7,58.1,66.4
DSR The Courtyard,https://www.99acres.com/dsr-the-courtyard-sarjapur-road-bangalore-east-npxid-r426518,"in Sarjapur Road, Bangalore","₹1.03 - 1.2 Cr, ₹1.31 - 1.43 Cr","2, 3 BHK Apartment",DSR Infra Projects Bangalore,"DSR The Courtyard, one of the known housing societes in Bangalore East, brings classic yet modern 2,3 BHK apartments in Sarjapur Road. Here units have different sizes, mostly in range of 1,113 - 1,687 sqft SUPER area. Apartment prices in this housing society vary in the range of Rs. 1.03 - 1.43 Cr. DSR The Courtyard 's RERA registration number is PRM/KA/RERA/1251/446/PR/280324/006759",Sarjapur,12425000,"[2, 3]",1687,7365.15,East,2.66359140194027,8.05760948158724,9,9,7.5,9.5,0,272,10,54.9,81.9,68.4
Mahaveer Northscape,https://www.99acres.com/mahaveer-northscape-devanahalli-bangalore-north-npxid-r346409,"in Devanahalli, Bangalore","₹59.03 - 64 L, ₹87.56 - 95.16 L, ₹1.1 - 1.21 Cr","1, 2, 3 BHK Apartment",Mahaveer Group,"Check out 1,2,3 BHK apartments in Devanahalli, now available for sale at Mahaveer Northscape. Mahaveer Northscape has apartments in multiple configurations, in range of 711 - 1,533 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/191213/003063 registration number. This society offers apartments in the price range of Rs. 59.03 L - 1.21 Cr",Devanahalli,8945833,"[1, 2, 3]",1533,5835.51,North,2.17535349692474,9.03397061954928,9,9,8,9.3,0,74,2.69372693726937,55.1,72.7,63.9
Amrutha Platinum Towers,https://www.99acres.com/amrutha-platinum-towers-whitefield-bangalore-east-npxid-r305417,"in Whitefield, Bangalore","₹1.11 - 1.51 Cr, ₹1.4 - 1.81 Cr","2, 3 BHK Apartment",Amrutha Rama Constructions,"Beautiful 2,3 BHK apartments in Whitefield, are now available in Amrutha Platinum Towers housing project. This society is RERA approved and PRM/KA/RERA/1251/446/PR/180420/001525 is the RERA number. Prices of apartments in this project, vary between Rs. 1.11 - 1.81 Cr. Amrutha Platinum Towers apartments are available in multiples sizes, ranging from 1,006 - 1,636 sqft SUPER area",Whitefield,14575000,"[2, 3]",1636,8908.92,East,2.50190222560396,7.07222923920886,9,9,7.5,9.5,0,179,6.56826568265683,53.3,74.3,63.8
Eeshanya Aaroha,https://www.99acres.com/eeshanya-aaroha-whitefield-bangalore-east-npxid-r454238,"in Whitefield, Bangalore","₹73 L, ₹94.85 L - 1.16 Cr","2, 3 BHK Apartment",Eeshanya Infra LLP,"Spacious 2,3 BHK apartments in Whitefield are available for sale.Check out latest property options at Eeshanya Aaroha housing society. Here units have different sizes, mostly in range of 1,055 - 1,660 sqft SUPER area. Apartments in this complex are available in price range of Rs. 73 L - 1.16 Cr. This society is RERA approved and PRM/KA/RERA/1250/304/PR/150925/008093 is the RERA number",Whitefield,8921250,"[2, 3]",1660,5374.25,East,2.57799124976222,9.32839044283866,9,9,7.5,9.5,0,179,6.56826568265683,55.9,79.9,67.9
